,Review Title,Review Text,Preprocessed_Review_Text,After Spelling Correction,Sentiment_score,Sentiment_
17,This is not a scam!!! Please read!!,"This is not a scam!! I repeat this is not a scam! I love iPhones, I always want a nice good working phone that I know won’t take a dump in me because me being a single mom I need to beable to keep in touch with school and grandpa so if anything happens I’m aware right away! I love this phone! No scratches no dings! It’s like brand new!!! It looks new! And works like new!!! Comes with a screen protector! I am in love!!! The battery capacity is 100%! And it’s a killer deal for the price of this kind of phone!! It’s well worth it and it came in two days with my Amazon prime earlier than it said it would! You will be happy! I highly recommend!",scar repeat scar love phone alway want nice good work phone know wont take dump singl mon need tabl keep touch school grand anyth happen in awar right away love phone scratch king like brand new look new work like new come screen protector love batteri capac 100 killer deal price kind phone well worth came two day amazon prime earlier said would happi highli recommend,scar repeat scar love phone always want nice good working phone know wont take dump single mon need table keep touch school grand anything happens in aware right away love phone scratches kings like brand new looks new works like new comes screen protector love battery capacity 100 killer deal price kind phone well worth came two days amazon prime earlier said would happy highly recommend,0.9639595150947571,POSITIVE
18,Don’t trust Tech Exchange!,Don’t trust the refurbished phone from Tech Exchange!! The ear speaker on this phone does not work. I can turn the phone on speaker phone and make a phone call but when you try and take it off speakerphone all you hear is garbled voices and a lot of static. You can understand about every 10th word.  Then today when trying to make a phone call with the speakerphone every time I pushed one of the numbers to dial in the number from the pack and made a really loud high-pitched tone. When  I hit the side button to try and shut the sound off the screen went black and it still was making this weird high-pitched sound that ended up stopping after about 30-45 seconds very annoying. I finally had to shut the phone completely off and turn it back on at which point I was able to make a call on speakerphone. I’ve never had problems like this with a refurbished phone! After doing a chat with Amazon they told me I had to handle it with the seller who is supposed to be calling me to provide me with a prepaid label to return it and to discuss a replacement phone. The return policy says I have to return the phone to them and then they have two weeks to give me a refund on my money so that it will be another two weeks before a order a different phone.I just want to say that after I finally received a call from them my refund was processed very promptly.,dont trust refurbish phone teach exchang ear speaker phone work turn phone speaker phone make phone call tri take speakerphon hear marbl voic lot static understand everi with word today tri make phone call speakerphon everi time push one number dial number pack made realli loud highpitch tone hit side button tri shut sound screen went black still make weird highpitch sound end stop 3045 second annoy final shut phone complet turn back point abl make call speakerphon give never problem like refurbish phone chat amazon told handl seller suppos call provid repaid label return discus replac phone return polici say return phone two week give refund money anoth two week order differ phone want say final receiv call refund process promptli,dont trust refurbished phone teach exchange ear speaker phone work turn phone speaker phone make phone call try take speakerphone hear marbled voices lot static understand every with word today trying make phone call speakerphone every time pushed one numbers dial number pack made really loud highpitched tone hit side button try shut sound screen went black still making weird highpitched sound ended stopping 3045 seconds annoying finally shut phone completely turn back point able make call speakerphone give never problems like refurbished phone chat amazon told handle seller supposed calling provide repaid label return discuss replacement phone return policy says return phone two weeks give refund money another two weeks order different phone want say finally received call refund processes promptly,0.9984488487243652,NEGATIVE
19,HORRIBLE !!,I haven’t had the phone for 2 weeks and now the power button isn’t working and now the seller isn’t responding !!!,haven phone 2 week power button isn work seller isn respond,haven phone 2 weeks power button isn working seller isn responding,0.9905657172203064,NEGATIVE
20,everything OK but the price is still too high compared to a new one with all original accessoires,"IPhone was shipped in two-day delivery. The box inside of a FedEx bag came opened but the FedEx bag itself was untouched, so I presume it was not completely closed before sealing the bag. The phone came with no scratch or sign of usage at all, a screen protector (nice touch) and generic certified usb cable and charger. No earphones as described. Battery life is 100%. So far it looks and works good. Im only a little concerned that it gets quite hot in the back.Im only doing the math and believe $639.99 is still a high price for a refurbished. If you want replace the generic stuff by purchasing an original charger + cable + earpods + connector, the total price will go beyond a brand new phone.",phone ship today deliveri box insid foot bag came open foot bag untouch presum complet close seal bag phone came scratch sign usag screen protector nice touch genet terrifi u cabl charg earphon describ batteri life 100 far look work good in littl concern get quit hot back path believ 63999 still high price refurbish want replac genet stuff purchas origin charg cabl earpod connect total price go beyond brand new phone,phone shipped today delivery box inside feet bag came opened feet bag untouched presume completely closed sealing bag phone came scratch sign usage screen protector nice touch genetic terrified us cable charge earphones described battery life 100 far looks works good in little concerned gets quite hot back path believe 63999 still high price refurbished want replace genetic stuff purchasing original charge cable earpods connection total price go beyond brand new phone,0.6050788164138794,NEGATIVE
21,"Not ""Fully unlocked and compatible with any carrier of choice""","""Fully unlocked and compatible with any carrier of choice"" is is a false statement in their add for Amazon. When I received the phone there was a paper inside the box saying not compatible with Sprint or Boost Mobile. I happen to use one of those carriers, and rather then erasing all my info that I already had transferred from my old phone to the new phone and mailing the phone back I chose to switch carriers which was an additional pain. So BuySPRY won in the end but I will never purchase from them again.",fulli unlock compat carrier choic fals statement add amazon receiv phone paper insid box say compat spring boost mobil happen use one carrier rather ea into alreadi transfer old phone new phone fail phone back chose switch carrier addit pain buyspri end never purchas,fully unlocked compatible carrier choice false statement add amazon received phone paper inside box saying compatible spring boost mobile happen use one carriers rather easing into already transferred old phone new phone failing phone back chose switch carriers additional pain buyspry end never purchase,0.9857631921768188,NEGATIVE
22,Great product. Looks and works exactly like new,Great product. Looks and works exactly like new,great product look work exactli like new,great product looks works exactly like new,0.9974505305290222,POSITIVE
23,A better alternative to buying a new iphone,"Every things right,  battery came with %100 capacity,  and it arrived 4 days early through FedEx,  i got the color and device storage I ordered.  Theres a few scratches on the bare screen which prove its used,  (i peeled the screen protector it came with off so i could put my tempered glass one on) but theyre invisible when a screen protector is on.  Phone is lighting fast and im just so happy!I had some doubts when buying this phone because there weren't enough reviews on it and it was used.  But its entirely like new,  although you dont get the unboxing experience of buying it brand new,  and earbuds arent included. Im happy i got a discount and that i didnt buy a new one and just have this one sit around and get scrapped for parts or something. I honestly dropped $690 bucks on this thing and i was gonna go ballistic if it didnt show up,  but it came early and im so relieved and happy with it,  its absolutely beautiful. Also the battery life on this for an iphone is great,  i came from a 2016 SE,  so a big change.",everi thing right batteri came 100 capac arriv 4 day earli foot got color devic storag order there scratch bare screen prove use peel screen protector came could put temper glass one there invis screen protector phone light fast in happi doubt buy phone weren enough review use entir like new although dont get undo experi buy brand new earbud agent includ in happi got discount didn buy new one one sit around get scrape part someth honestli drop 690 buck thing donna go ballist didn show came earli in reliev happi absolut beauti also batteri life phone great came 2016 se big chang,every things right battery came 100 capacity arrived 4 days early feet got color device storage ordered there scratches bare screen prove used peeled screen protector came could put tempered glass one there invisible screen protector phone lighting fast in happy doubts buying phone weren enough reviews used entirely like new although dont get undoing experience buying brand new earbuds agent included in happy got discount didn buy new one one sit around get scraped parts something honestly dropped 690 bucks thing donna go ballistic didn show came early in relieved happy absolutely beautiful also battery life phone great came 2016 se big change,0.9235795736312866,NEGATIVE
24,100% recomendado,Excelente teléfono 👍 y muy buena la cámara lo recomiendo 100%,excel tell fond may buena la c mari lo recommend 100,excellent tell fond may buena la c mary lo recommends 100,0.9984554052352905,POSITIVE
25,Product was exactly whatbit was supposed to b,My son loved this phone. We had no problems setting anything up. Worked perfect. In brand new apple box as well,son love phone problem set anyth work perfect brand new appl box well,son loved phone problems setting anything worked perfect brand new apple box well,0.5199518799781799,NEGATIVE
26,Looks and Works like new !!,I just received this phone on Friday(3 days earlier than expected🤗🤗)and it is absolutely lovely🤩. It came in a generic box with an apple compatible charger and cable. No scratches or imperfections that I can see at this time . The battery capacity is 100%. It looks and works like a brand new device.😁😁✅,receiv phone friday day earlier expectedand absolut love came genet box appl compat charg cabl scratch imperfect see time batteri capac 100 look work like brand new devic,received phone friday days earlier expectedand absolutely lovely came genetic box apple compatible charge cable scratches imperfections see time battery capacity 100 looks works like brand new device,0.9896620512008667,NEGATIVE
27,It’s like brand new,The phone comes in the original iPhone box which was a nice bonus and difference between other companies that send unlocked iPhones in normal cardboard boxes and it works perfectly,phone come origin phone box nice bonu differ compani send unlock phone normal cardboard box work perfectli,phone comes original phone box nice bonus difference companies send unlocked phone normal cardboard boxes works perfectly,0.9429244995117188,NEGATIVE
28,"Works perfectly, well packaged and looks brand new.","I shopped around a lot for a renewed, refurbished iPhone 11. This was not the cheapest but really close. The selling point for me is that it comes with a 90 day warranty and refund policy and is sold through Amazon Prime. We received the phone 4 days ago. Upgraded and transferred everything from the iPhone 7 to the 11 flawlessly. Plus, the phone had no cosmetic issues at all. It looks brand new. We have bought a refurbished iPhone 7 and now this 11. Both worked perfectly.",stop around lot renew refurbish phone 11 cheapest realli close sell point come 90 day warranti refund polici sold amazon prime receiv phone 4 day ago upgrad transfer everyth phone 7 11 fearlessli plu phone cosmet issu look brand new bought refurbish phone 7 11 work perfectli,stopped around lot renewed refurbished phone 11 cheapest really close selling point comes 90 day warranty refund policy sold amazon prime received phone 4 days ago upgrade transferred everything phone 7 11 fearlessly plus phone cosmetic issues looks brand new bought refurbished phone 7 11 worked perfectly,0.9943041205406189,NEGATIVE
29,Read the Review; Android Gang,"As far as buying this product from this specific seller, my experience has been great! Nothing to complain about. There were no scratches in the glass display, not to mention there weren’t any on the back glass or camera lenses either. But as far as the phone itself, I’m an android person but my first smartphone happened to be an iPhone and I had gone through a couple generations of them. I’m pleased to say that this device feels great but, it’s still an iPhone and to that, I mustn’t give a full 5 star review. Android gang.",far buy product specif seller experi great noth complain scratch glass display mention weren back glass camera lens either far phone in andro person first smartphon happen phone gone coupl gener in plea say devic feel great still phone mustn give full 5 star review andro gang,far buying product specific seller experience great nothing complain scratches glass display mention weren back glass camera lenses either far phone in andros person first smartphone happened phone gone couple generations in pleased say device feels great still phone mustn give full 5 star review andros gang,0.9911721348762512,NEGATIVE
30,iPhone 11,I am absolutely happy with my purchase! I’ve gone through the reviews and was ready to order right after. The only thing is my battery health was at 84% as I seen others with 100% which is fine by me. It’s nothing to go get a new battery when and if that time comes. As you see in the pictures the phone is in great condition annnndddd it’s unlocked so you can use any phone service for it. I’m digging the picture quality especially after upgrading from the iPhone X to this. What a difference a upgraded phone makes! It came with a cute case plus a charger. If you’re looking into this phone I’d say go for it. I’m on day 1 and I’m excited!!! (UPDATE! April 18th) I’m 1 month in with the phone and it’s still working great no issues at all.,absolut happi purchas give gone review readi order right thing batteri health 84 seen other 100 fine noth go get new batteri time come see pictur phone great condit annnndddd unlock use phone servic in dig pictur qualiti especi upbraid phone x differ upgrad phone make came cut case plu charg your look phone id say go in day 1 in excit updat april with in 1 month phone still work great issu,absolutely happy purchase give gone reviews ready order right thing battery health 84 seen others 100 fine nothing go get new battery time comes see pictures phone great condition annnndddd unlocked use phone service in digging picture quality especially upbraiding phone x difference upgrade phone makes came cut case plus charge your looking phone id say go in day 1 in excited update april with in 1 month phone still working great issues,0.9530612826347351,NEGATIVE
31,Works good like new,"Work totally fine so far, I’m satisfied with the functionality. But It didn’t come with earphones.",work total fine far in satisfi function didn come earphon,work totally fine far in satisfied functionality didn come earphones,0.8866590857505798,POSITIVE
32,"Excellent, Battery Health at 100%, like new.","This phone is great! (Please excuse the somewhat blurry pics, I have shaky hands) The battery health was already at 100% and its has barely any cosmetic damage. Save for a super tiny little nick at the top which is barely noticeable unless I shine a camera directly at the area. Also, the phone came preinstalled with a screen protector! I guess its a bit of a minus that it doesnt come with headphones, but I already have airpods, so that doesn’t bother me. It’s something to keep in mind when you purchase anything from Amazon Renewed. The phone came in four days early too which is dope.",phone great plea excus somewhat flurri pick shake hand batteri health alreadi 100 bare cosmet damag save super tini littl nick top bare notic unless shine camera directli area also phone came preinstal screen protector guess bit minu doesn come headphon alreadi airport doesn bother someth keep mind purchas anyth amazon renew phone came four day earli done,phone great please excuse somewhat flurry pick shake hands battery health already 100 barely cosmetic damage save super tiny little nick top barely noticeable unless shine camera directly area also phone came preinstalled screen protector guess bit minus doesn come headphones already airport doesn bother something keep mind purchase anything amazon renewed phone came four days early done,0.9967038035392761,NEGATIVE
33,BRAND NEW PHONE FOR USED PRICE,So pleased. The phone came with a screen protector on it already even! And we’ll placed! No scuffs. Phone is seriously like brand new. Battery is 99%. I was skeptical after a bunch of 1 star reviews but figured I would try it because there is a 90 day guarantee and return. Don’t feel scared about this deal. Try it out. You will be pleased.I got the black 256gb unlocked iPhone 11 just FYI.,plea phone came screen protector alreadi even well place cuff phone serious like brand new batteri 99 skeptic bunch 1 star review figur would tri 90 day guarante return dont feel scare deal tri plea got black 256gb unlock phone 11 foi,pleased phone came screen protector already even well placed cuffs phone seriously like brand new battery 99 skeptically bunch 1 star reviews figured would try 90 day guarantee return dont feel scared deal try pleased got black 256gb unlocked phone 11 foi,0.982212245464325,NEGATIVE
34,Phone is nothing more than a paper weight now,"After only 3.5 months the phone is completely dead and will not charge.  Took to Apple store and was told it would have to be replaced.  WTH!  Ordered and received early October 2020.  Started having charging issues last week and now it is completely dead.  And wouldn't you know it is past the return date by a mere 12 days.  Come on Amazon, you sold me this product you need to stand behind it or at least replace or refund something that lasts only days longer than the return window.  BS!",35 month phone complet dead charg took appl store told would replac with order receiv earli octob 2020 start charg issu last week complet dead wouldn know past return date mere 12 day come amazon sold product need stand behind least replac refund someth last day longer return window is,35 months phone completely dead charge took apple store told would replaced with ordered received early october 2020 started charging issues last week completely dead wouldn know past return date mere 12 days come amazon sold product need stand behind least replace refund something lasts days longer return window is,0.9985417127609253,NEGATIVE
35,SAD,"Well I got the iPhone 11 yesterday and it currently right now will shut off every 5-10 mins , I have tried multiple times to contact the carrier and they haven’t emailed me back or nothing which I spent 700$ on a phone I’d like to get atleast a phone I can have a conversation on .. I don’t even want my money back I just want my phone fixed because it’s honestly a great phone but I think you should get a better technician that works on your phones cause I even called Apple to see what they recommend I do (that’s what they said ab the technician ) but I’m just disappointed I was so excited now I just feel ripped off ):",well got phone 11 yesterday current right shut everi 510 mind tri multipl time contact carrier haven remain back noth spent 700 phone id like get least phone convers dont even want money back want phone fix honestli great phone think get better technic work phone caus even call appl see recommend that said ab technic in disappoint excit feel grip,well got phone 11 yesterday currently right shut every 510 mind tried multiple times contact carrier haven remained back nothing spent 700 phone id like get least phone conversation dont even want money back want phone fixed honestly great phone think get better technical works phone cause even called apple see recommend that said ab technical in disappointed excited feel gripped,0.9976811408996582,NEGATIVE
36,Great deal!,Bought refurbished I’m assuming only open box as the item seemed 100%brand new would recommend the seller,bought refurbish in assum open box item seem 100brand new would recommend seller,bought refurbished in assuming open box item seemed 100brand new would recommend seller,0.9037801623344421,NEGATIVE
37,I like,It's ok,ok,ok,0.9997851252555847,POSITIVE
38,Lock screen is blurry and flickering as soon as trying to unlock,"                    The media could not be loaded.
                



 The lock screen is flickering and getting blurry .. everything else seems to be fine , I tried to restart it again but it’s not working",medium could load lock screen flicker get flurri everyth el seem fine tri start work,media could loaded lock screen flickering getting flurry everything else seems fine tried start working,0.9829702377319336,NEGATIVE
39,Don’t do it waste of money,For the most part everything is okayDifferent parts of the screen won’t work during certain timesSo I have to lock and unlock my phone constantly Nd hope it will work afterWhile writing this review I can’t even hit the bottom right corner to add punctuation unless it comes up from autocorrectWhen I contacted the company they told me to hard reset it and it should work afterThat worked for less than a day and I don’t want to have to hard reset my phone every other day for it to work when I spent seven hundred dollarsCan’t even use numerical charactersUpdate I reached out to them again saying their advice didn’t work and haven’t received a response and it’s been a week,part everyth okaydiffer part screen wont work certain time lock clock phone constantli nd hope work afterwhil write review can even hit bottom right corner add punctuat unless come autocorrectwhen contract compani told hard rest work afterthat work le day dont want hard rest phone everi day work spent seven hundr dollarsc even use numer charactersupd reach say advic didn work haven receiv respons week,part everything okaydifferent parts screen wont work certain times lock clock phone constantly nd hope work afterwhile writing review can even hit bottom right corner add punctuation unless comes autocorrectwhen contracted company told hard rest work afterthat worked less day dont want hard rest phone every day work spent seven hundred dollarscant even use numerical charactersupdate reached saying advice didn work haven received response week,0.9895007014274597,NEGATIVE
40,Thank you 🧚🏽‍♀️🧚🏽‍♀️,If you’re thinking about buying this buy it right now! I had iPhone 7 and wanted another phone I can have years to come it took me two months to buy this because how much money. When I did BOY! I have never been so happy! I can’t express how happy and thankful iam to this company! Everything transferred over in less than 15 mins it was activate it with metro pcs within 10mins. I do have small hands so sometimes it’s hard to hold with one hand haha! The camera is awesome sound is awesome the color is greatit’s fast and up to date! It came with a screen protector you can buy another one. Get a good case I got mines from metro than I order one from red bubble. My watch paired fast dude! Buy this ASAP you’ll love it calls is cool it drops when I’m in a dead zone but that’s my services obviously turning the phone off tho is weird af 😂😂 buy a real apple charger got mines from Meijers for $20 charge my phone fast the battery life was 100%! It last about a 11 hours until it dies,your think buy buy right phone 7 want anoth phone year come took two month buy much money boy never happi can express happi thank am compani everyth transfer le 15 mind activ retro pu within 10min small hand sometim hard hold one hand hata camera awesom sound awesom color greatest fast date came screen protector buy anoth one get good case got mine retro order one red bubbl watch hair fast due buy sap you love call cool drop in dead zone that servic obvious turn phone the weird of buy real appl charg got mine member 20 charg phone fast batteri life 100 last 11 hour die,your thinking buying buy right phone 7 wanted another phone years come took two months buy much money boy never happy can express happy thankful am company everything transferred less 15 mind activate retro pus within 10mins small hands sometimes hard hold one hand hata camera awesome sound awesome color greatest fast date came screen protector buy another one get good case got mines retro order one red bubble watch haired fast due buy sap you love calls cool drops in dead zone that services obviously turning phone the weird of buy real apple charge got mines members 20 charge phone fast battery life 100 last 11 hours dies,0.9951863884925842,NEGATIVE
41,👍🏻,Recomended!!,recommend,recommended,0.9998393058776855,POSITIVE
42,Worst buy ever,I can’t send messages to anyone who doesn’t have an iPhone. The power button doesn’t work correctly and often times Siri doesn’t respond. The only way to get the issue corrected is to be without a phone until the seller sends me a new one. I’d never buy again or from this company.,can send messag anyon doesn phone power button doesn work correctli often time sir doesn respond way get issu correct without phone seller send new one id never buy compani,can send messages anyone doesn phone power button doesn work correctly often times sir doesn respond way get issue corrected without phone seller sends new one id never buy company,0.9916133880615234,NEGATIVE
43,Selling the last of faulty devices,"Certified. Refurbished. Quality Controlled. 70-point inspection.All indicators that you better insure any and every product purchased under the brand BuySpry because as the name suggests it will break quickly. Hopefully you are one of the lucky ones that buy second hand and receives a product that functions and lasts. You have no assurance or guarantee, just a wish. Be very careful within initial return period (most often 30 days) as any even small issue needs to be addressed. That issue, whatever it may be will prove fatal in due time. It is almost as if devices are programmed to break after 30 days. In my personal case, the iPhone I purchased after a week of normal use suffered critical issue. Customer service did not respond to the most recent message from me via email. After speaking to them on phone they stated resolution would be a refund. Do you have a back up device? I hope so. In the lucky case of an exchange (which I pushed for) brace yourself for longer than promised times to receive new product. There is a chance this turns into groundhog day but I hope you receive a working product that endures.Overall enterprise and business solution, would be to place more in reserves for replacement and increase service ability to send new product with promissory of receiving broken product. Filling this void, keeping customers whole while resolving issue. Leaving customers a loaner device would increase their reputation, making them the tallest in a room of short people but hey, you would purchase with confidence under that premise right? Do not buy from this organization if you plan to gift. Please do your loved one a favor and keep BUYSRY's mediocre business and risk to yourself. Just buy her something new you cheapskate! Good luck and stay healthy.",terrifi refurbish qualiti control point inspectional indic better insur everi product purchas brand buyspri name suggest break quickli hope one lucki one buy second hand receiv product function last assur guarante wish care within initi return period often 30 day even small issu need address issu whatev may prove fatal due time almost devic programm break 30 day person case phone purchas week normal use suffer critic issu custom servic respond recent messag via email speak phone state resolut would refund back devic hope lucki case exchang push brace longer promis time receiv new product chanc turn groundhog day hope receiv work product enduresoveral enterpris busi solut would place reserv replac increas servic abil send new product promissori receiv broken product fill void keep custom whole resolv issu leav custom loafer devic would increas reput make tabl room short peopl hey would purchas confid premis right buy organ plan gift plea love one favor keep buyer mediocr busi risk buy someth new cheapskat good luck stay healthi,terrified refurbished quality controlled point inspectionall indicator better insure every product purchased brand buyspry name suggests break quickly hopefully one lucky ones buy second hand receives product functions lasts assurance guarantee wish careful within initial return period often 30 days even small issue needs addressed issue whatever may prove fatal due time almost devices programme break 30 days personal case phone purchased week normal use suffered critical issue customer service respond recent message via email speaking phone stated resolution would refund back device hope lucky case exchange pushed brace longer promised times receive new product chance turns groundhog day hope receive working product enduresoverall enterprise business solution would place reserves replacement increase service ability send new product promissory receiving broken product filling void keeping customers whole resolving issue leaving customers loafer device would increase reputation making tables room short people hey would purchase confidence premise right buy organization plan gift please loved one favor keep buyers mediocre business risk buy something new cheapskate good luck stay healthy,0.9984093308448792,NEGATIVE
